INCIDENTE,INC
CHILLIDO,7200
CLINCH O REMACHE AUSENTE,0413
CLINCH O REMACHE DEFECTUOSO,0414
CLINCH O REMACHE MAL ASPECTO,0411
CLINCH O REMACHE MAL POSICIONADO,0412
CLIP DETERIORADO,0917
CLIP LENGUETA DETERIORADA,4791
CLIP LENGUETA INVERTIDA,4794
CLIP LENGUETA RETROCEDIDA,4797
CLIPS MUY ANCHO,4790
CLIPS RACOR SE TIENE MAL - MAL POS.,4730
CLOQUEO,7330
CO MUY ALTO,6820
CO MUY BAJO,6821
COCCION INSUFICIENTE,0937
COLA DE BILLAR,0050
COLLIER MAL CLIPSE,7924
COLLIER NON-CONFORME,7869
COLOR NO CONFORME,2491
COLOR NO CONJUNTADO,1420
COLORES DESLUCIDOS,2470
COMPORTAMIENTO ANORMAL,6340
CON CUERPO EXTRANO,0006
CON REBABA,0004
CONDENSACION,4010
CONDICION TEST NO RESPETADA,1887
CONECTOR / TERMINAL INVERTIDO,4727
CONECTOR CERRADO,0926
CONECTOR DEFECTUOSO,0906
CONECTOR DETERIORADO,4721
CONECTOR FALTA,0895
CONECTOR MAL CLIPSADO,0894
CONECTOR MAL- NO CONECTADO,4724
CONECTOR NO CONECTADO,4725
CONECTOR NO CONFORME,0907
CONECTOR ROTO,0893
CONECTOR SIN CLIP,0973
CONECTOR SUELTO,0896
CONEXION DEFECTUOSA,5080
CONFIGURACION CARMINAT HECHA,1910
CONNECTEUR MAL SERRE,8973
CONNECTIQUE DETERIOREE,7828
CONSIGNE,8971
CONTACTO / ENTORNO DINAMICO,6020
CONTACTO PERM. - PERIOD./ TUBO,5024
CONTACTO PERM.- PERIOD. / E. MECANICO,5022
CONTACTO PERM.- PERIOD./ CABLEADO,5025
CONTACTO PERM.- PERIOD./ E. CHAPA,5021
CONTACTO PERM.- PERIOD./ E. EQUIPO,5023
CONTACTO PERMANENTE,0041
CONTACTO PERMANENTE O PERIODICO,3020
CONTACTOR HUNDIDO,1721
CONTROL NC,7908
CONTROLE A FAIRE CK06,CT01
CONTROLE A FAIRE CK07,CT02
CONTROLE A FAIRE CK08,CT03
CONTROLE A FAIRE CK09,CT04
CONTROLE A FAIRE CK1,7937
CONTROLE A FAIRE CK10,CT05
CONTROLE A FAIRE CK2,7938
CONTROLE A FAIRE CK3,7939
CONTROLE A FAIRE CK4,7940
CONTROLE A FAIRE CK5,7941
CONTROLE CONFORMITE NON REALISE,79AA
CONTROLE DESTRUCTIF,U220
COPELA MAL POSICIONADA,0946
CORDON PEGAMENTO NO CONFORME,7821
CORTADO,4160
CORTADO CABLE/HILO,0912
CORTOCIRCUITO,6050
COSSE NON-CONFORME,8975
COSTURA DEFECTUOSA,2620
COTA NC,U160
COULURE COLLE STRUCTURE,2541
COULURE MONTAGE,1921
COULURE PEINTURE,1920
COUPLE SERRAGE NC,7992
CRATER,1120
CRATER DE APRESTOS,0775
CRATER DE CATAFORESIS,1290
CRATER DE LACA,0776
CRATER EN EL BARNIZ,0864
CRUJE,6060
CRUJIDO,8030
CSR-IMMO FIXATION FILETEE NON SERREE,I260
DE MAS,1946
DEBORDEMENT MASTIC PEINTURE,7967
DECALADO,0015
DECONSIGNE,8972
DEFAUT ASPECT TOLERIE,1878
DEFAUT BANC D ESSAI,7909
DEFAUT BITON FINITION,25AC
DEFAUT BITON MAROUFL,25AB
DEFAUT BRUIT NON REPRODUIT,DBNR
DEFAUT ELECTRIQUE,1892
DEFAUT EOLT ABL,8964
DEFAUT EOLT ABSM,8966
DEFAUT EOLT NAPPE CHAUF,8961
DEFAUT EOLT NAPPE SBR,8962
DEFAUT EOLT PEDONCULE,8963
DEFAUT GEOMETRIE TOLERIE,1877
DEFAUT INDUIT,7928
DEFAUT PREPARATION POSTE FIXE,0804
DEFAUT PRESSION,U492
DEFAUT REMPLISSAGE CYCLE HUMIDE,7751
DEFAUT SELLERIE,1891
DEFAUT VISSAGE ABL,8970
DEFAUT VISSAGE ABSM,8967
DEFAUT VISSAGE ARMATURE,8969
DEFAUT VISSAGE DOSSIER,8955
DEFAUT VISSAGE GLISSIERE,8954
DEFAUT VISSAGE PEDONCULE,8968
DEFAUT ZIPPAGE ABL,8958
DEFECTO ABS / PEV,7752
DEFECTO APLICACION NEGRO ESTILO,1210
DEFECTO APRESTOS,1883
DEFECTO ASIENTOS,1908
DEFECTO CARROCERIA,1782
DEFECTO CICLO,7755
DEFECTO COMUNICACION PEV,7880
DEFECTO DE CHAPA,0220
DEFECTO DE MAQUINA,1792
DEFECTO DE MATERIAL,0773
DEFECTO DE MONTAJE,1869
DEFECTO DE PASO,0016
DEFECTO DE PRESION INICIAL,PINI
DEFECTO DE UNION 2 TONOS,1460
DEFECTO ELECTRICO NO REPRODUCIDO,DENR
DEFECTO FIJACION PANTALLA TERMICA,5610
DEFECTO LIJADO CATAFORESIS,0939
DEFECTO LIJADO DE APRESTO,0938
DEFECTO LLENADO SECO,1895
DEFECTO MASTICO,1882
DEFECTO MECANICA,1781
DEFECTO NO CONSTATADO,0770
DEFECTO PINTURA,0947
DEFECTO PROVEEDOR,1885
DEFECTO RECICLADO,0865
DEFECTO REDUNDANCIA,1893
DEFECTO TENSION,0866
DEFECTUOSO,0017
DEFORM POR PT DE SOLD,7923
DEFORMACION,0240
DEFORMACION ( CHAPA),1803
DEFORMACION (MONTAJE),1789
DEFORMACION (PINTURA,1788
DEFORMADO,2240
DEFORMATION EMBOUTISSAGE,7912
DEGRADADO ( FAB ),0077
DEGRADADO( PROVEEDOR ),0078
DEMASIADO ALTO,0090
DEMASIADO BAJO,0100
DEMASIADO CORTO,2420
DEMASIADO LARGO,2410
DEMASIADO RAPIDO,3270
DEPHASE,1806
DEPOSITO DE PARTICULAS,1190
DESABROCHA,0759
DESAFLORA CENTRAL AR,0921
DESAFLORA INFERIOR AR,0918
DESAFLORA SUPERIOR AR,0919
DESALINEADO,2130
DESB. MASTICO DESPUES DE PINTAR,2770
DESBORDAMIENTO DE GURIT,1876
DESBORDAMIENTO MASTICO DE CHAPA,0706
DESCALZADO,0761
DESCOLGON,1110
DESCOLGON DE APRESTO,0087
DESCOLGON DE BARNIZ,0862
DESCOLGON DE BASE,0969
DESCOLGON DE CATAFORESIS,0092
DESCOLGON DEL ROBOT DE BARNIZ,0789
DESCOLGON DEL ROBOT DE BASE,0788
DESCOLGON MANUAL DE LA BASE,0783
DESCOLGON MANUAL DEL BARNIZ,0785
DESCOLGON MAQUINA DE LA BASE,0786
DESCOLGON PINTURA BAJO PEGATINA,0863
DESCONCHADO,1510
DESCONCHADO LLEGA A LA CHAPA,1550
DESCONCHADO PINTURA,1926
DESCONCHADO POR TALONAMIENTO,1540
DESEMPA¥ADO FUNCIONA MAL,3151
DESGARRO - EXTRUSION - PERFORACION,0215
DESGUAZAR,0758
DESHILADO,0780
DESLIZAMIENTO DE RADIO,0320
DESLIZAMIENTO MANDO DEFECTUOSO,6056
DESLUCIDO,1260
DESOLDADO,4350
DESPAREJADO,0018
DESPEGADO,4660
DESPEGUE A GRAN VELOCIDAD,3990
DESPLAZADO,0968
DESUNIDO,3670
DESUNIDO AL SALPICADERO,1838
DETERIORADO,4450
DETERIORADO ( FAB ),1898
DETERIORADO ( PROV ),1899
DETERIORADO PASA-CABLES,4060
DIAMETRO NO CONFORME,0019
DIFFERENCE DE JEU EN SYMETRIE G / D,0031
DIMENSION NC,7976
DUREZA CIERRE NO COMPROBADA,1888
DUREZA INSUFICIENTE,1160
DURO,6080
DURO DE ABRIR,3250
DURO DE CERRAR,3220
DURO DE CLIPSAR,0965
DURO DE MANIOBRAR,3090
ECAILLAGE MONTAGE,1927
ECROU CAGE MANQUE,7715
EFFORT EMMANCHEMENT FORT,U455
ELEMENT A PEINDRE,7700
ELEMENTO A CAMBIAR,0757
ELEMENTO DE CHAPA IMPIDE EL MONTAJE,0180
ELEMENTO DE SOLDADURA IMPIDE EL MONTAJE,0500
ELEMENTO MUY VISIBLE,5004
EMBELLECEDOR CHARNELA MAL FIJADO,0733
EMBELLECEDOR CHARNELA NO MONTADO,0732
EMBELLECEDOR PLAFON FALTA,1745
EMPREINTES ( ECARTEUR ),7767
EMPREINTES ( OPERATEUR OU TUYAU ),7766
EMPREINTES MONTAGE,1923
EMPREINTES PEINTURE,1922
ENSAYO,7800
ENTERRADO,0086
ENTRA  AGUA MASTICO MAL POSICIONADO,9480
ENTRA  AGUA POR FALTA DE MASTICO,9470
ENTRA  AGUA POR SOLDADURA PERFORADA,9360
ENTRA AGUA ENTRE EQUIPAMIENTO Y JUNTA,9120
ENTRA AGUA ENTRE JUNTA Y CHAPA,9130
ENTRA AGUA MASTICO MAL POSICIONADO,9480
ENTRA AGUA POR FALTA DE JUNTA,9140
ENTRA AGUA POR FALTA DE MASTICO,9470
ENTRA AGUA POR FALTA DE OBTURADOR,9690
ENTRA AGUA POR SOLDADURA PERFORADA,9360
ENTRA ATRAVESADO,0855
ENTRADA  AGUA OBTURADOR MAL POSIC.,9070
ENTRADA AGUA OBTURADOR DETERIORADO,9080
ENTRADA AGUA OBTURADOR MAL POSIC.,9070
ENTRADA DE  AGUA ENTRE JUNTA Y OUVRANT,9110
ENTRADA DE AGUA ENTRE JUNTA Y OUVRANT,9110
ENTRADA DE AGUA LUNA BAJADA,0975
ENTRADA DE AGUA PLACADO JUNTA / OUVRANT,9100
ENTRADA DE AGUA POR AGUJERO,9200
ENTRADA DE AGUA POR AGUJERO MASTICO,9320
ENTRADA DE AGUA POR FIJACION,9220
ENTRADA DE AGUA POR HENDIDURA,9010
ENTRADA DE AGUA POR PORO,9200
ENTRADA DE AGUA POR VINILO DE PUERTA,9020
ENTRADA DE AIRE,3170
ENTRADA DE POLVO,9500
ENTRETOISE DEFECTUEUSE,7780
ENTRETOISE MANQUE,1936
EQUIPO MAL POSICIONADO / MAL CLIPSADO,0715
ERROR DE REFERENCIA,0101
ESCUADRA MAL CLIPSADA,0997
ESCUADRA NO MONTADA,0856
ESFUERZO EXCESIVO SALIDA VELOCIDAD,6830
ESFUERZO NC,U234
ESFUERZO SELEC. M. AR.- 5ø EXCESIVO,6710
ESFUERZO SELEC. M. AR.- 5ø MUY DEBIL,6720
ESPARRAGO CON PROYECCIONES,1746
ESPARRAGO DESOLDADO,0882
ESPARRAGO DETERIORADO,1949
ESPARRAGO FALTA,0848
ESPARRAGO FLOJO,0902
ESPARRAGO INCLINADO,1765
ESPARRAGO MAL POSICIONADO,0881
ESPARRAGO NO CONFORME,0880
ESPARRAGO ROTO,0899
ESPARRAGO TRASROSCADO,0984
ESPECIFICACION BE EN CURSO,4304
ESPESOR DE PINTURA EXCESIVO,1496
ESPESOR DE PINTURA INSUFICIENTE,1495
ESPOLVOREADO,0964
ESPUMA SIN MONTAR,0742
ESPUMA VISIBLE,2630
ESSAI S.A.O.,7921
ESTADO DE SUPERFICIE NC,0024
ESTANQUEIDAD A VERIFICAR,7972
ESTANQUEIDAD NO CONFORME,1947
ESTANQUIDAD DEFECTO NO REPRODUCIDO,EDNR
ETIQUETA MAL POSICIONADA,2800
ETIQUETA NO CONFORME,4704
ETIQUETTE VIOLABILITE,4971
EXTRICCION,0200
FALLADO,0038
FALLO DE CILINDRO,6250
FALLOS - TIRONES,6610
FALTA,4700
FALTA - NO CONF. TORN.- TUERCA - REMACHE,2250
FALTA  PRESION,3300
FALTA / NO APRETADO/MAL POS/SOLD DEF,1700
FALTA ADHESIVO,0793
FALTA AISLANTE,5550
FALTA APRESTO,0941
FALTA ARANDELA - SSPP,4360
FALTA AUTORIZACION REGLAJE FAROS,7960
FALTA BANDA DECORATIVA,4960
FALTA BETACOR,0717
FALTA BOMBILLA,0722
FALTA BRIDA,0977
FALTA BRILLO,7922
FALTA CABLE,0936
FALTA CALA,0873
FALTA CANALIZACION DE RETORNO,5990
FALTA CAPTURA DEFECTO EN GRET,1902
FALTA CENTRADOR,1748
FALTA CLIP,1774
FALTA CLIPS RACOR,4720
FALTA CODIGO,1896
FALTA CODIGO INYECTOR,1807
FALTA CODIGO RADIO,0723
FALTA CONTACTO,0744
FALTA COPELA,0877
FALTA CORDON,1752
FALTA DE ADHERENCIA,1200
FALTA DE BARNIZ,1221
FALTA DE COLOR,1750
FALTA DE EFICACIA,6330
FALTA DE ENERGÍA,7789
FALTA DE ESPESOR,2283
FALTA DE FIJACION ROSCADA,4250
FALTA DE INSCRIPCION,4630
FALTA DE MASTICO,1020
FALTA DE POTENCIA,6470
FALTA DE PROGRESIVIDAD,3460
FALTA DE RIGIDEZ,2930
FALTA ELEMENTO (PINTURA),0942
FALTA ESCUADRA,0762
FALTA ESPESOR DE MASTICO,1021
FALTA ESPESOR DE PINTURA,1220
FALTA ESPUMA,0745
FALTA ETIQUETA,4703
FALTA FLUIDO HUMEDO,7770
FALTA FLUIDO SECO,7769
FALTA FUSIBLE,5497
FALTA GRAPA SOPORTE,5580
FALTA GRECA / ESPEJO-LUNA,2940
FALTA IFF,7944
FALTA INFORMACION,1790
FALTA INSONORIZANTE ( CHAPA ),0943
FALTA ISONORIZANTE,0088
FALTA JAULA,0718
FALTA JUNQUILLO,0755
FALTA JUNTA,0782
FALTA JUNTA ADHESIVA,0956
FALTA JUNTA DE ESTANQUIDAD,4951
FALTA LAMPARA,3710
FALTA LOCTITE,1918
FALTA MASA ACUSTICA,5383
FALTA MASTICO DESPUES DE PINTAR,2780
FALTA MATERIAL,1939
FALTA MOLAR,0094
FALTA MUELA,0989
FALTA MUELLE,7791
FALTA OBTURADOR,4690
FALTA OBTURADOR EXT,7926
FALTA OBTURADOR INT,7925
FALTA PANTALLA TERMICA,5630
FALTA PASA-CABLES,4050
FALTA PASTA DE ESTANQUIDAD,5510
FALTA PASTILLA,1753
FALTA PATILLA,1740
FALTA PEGATINA  ANTI-CORROSION ,4702
FALTA PEGATINA ANTI-CORROSION,4702
FALTA PEON,0719
FALTA PEON ANTIEMPOTRAMIENTO,1871
FALTA PEON DE CENTRAJE,1941
FALTA PIEZA ( DLI ),8977
FALTA PIEZA ( MONTAJE ),7723
FALTA PIEZA ( PROVEDOR ),7722
FALTA PIEZAS ( CHAPA ),0944
FALTA PINTURA DE ESTILO ( NEGRO),1222
FALTA PINTURA DE ESTILO (NEGRO),1222
FALTA PLASTIRIVERT,1775
FALTA PLOMO TAQUIMETRO,0846
FALTA PRESION,3300
FALTA PROFUNDIDAD DE PINTURA,1301
FALTA PROGRESIVIDAD,6460
FALTA PROTECCION,MQ03
FALTA PROTECCION SOLDADURA,MQ04
FALTA PROTECTOR,4870
FALTA REFERENCIA - MARCA DE CONTROL,5060
FALTA RELE,4701
FALTA RETEN,1768
FALTA ROMANA,0713
FALTA ROSCA,1756
FALTA SEGUNDO COLOR,7970
FALTA SELLO CHAPA,0850
FALTA SELLO FERRAJE,0851
FALTA SOPORTE,5370
FALTA TALADRO,1707
FALTA TAPA,0961
FALTA TAPON,1934
FALTA TERMINAL - CLIP - CONECTOR,4830
FALTA TETON,0927
FALTA TIRANTE - CABLE,4410
FALTA TOBERA,1755
FALTA TOPE,4850
FALTA TROQUELADO CHASIS,0724
FALTA TUBO,1751
FALTA TUBO DE IDA,4640
FALTA TUBO DE RETORNO,4770
FALTA TUCKER,0711
FARO NO CONFORME,7959
FECHA DE CADUCIDAD NO CONFORME,5009
FIBRA,0781
FIBRA B0,11AD
FIBRA EN BARNIZ,11AI
FIBRA EN BASE,11AH
FIJA..REMACH.GRUPILLA MAL POSICION.(CH),0650
FIJA..REMACH.O GRUPILLA AGRESIVA(CH),0640
FIJA..REMACH.O GRUPILLA FALTA (CH),0600
FIJA..REMACH.O GRUPILLA NO CONFORME(CH),0630
FIJACION A CARROCERIA NO CONFORME,T035
FIJACION A COPELA NO CONFORME N 41,T041
FIJACION A COPELA NO CONFORME N 42,T042
FIJACION A DISCO D NO CONFORME,T410
FIJACION A DISCO I NO CONFORME,T409
FIJACION A SOPORTE NO CONFORME,T033
FIJACION ALIM ALTERNADOR NO CONFORME,T101
FIJACION ALIM ARRANQUE NO CONFORME,T103
FIJACION AR NO CONFORME,T052
FIJACION ARD NO CONFORME,0824
FIJACION ARD NO CONFORME N 10,T010
FIJACION ARD NO CONFORME N 22,T022
FIJACION ARD NO CONFORME N 29,T029
FIJACION ARD NO CONFORME N 6,T006
FIJACION ARG NO CONFORME N 17,T017
FIJACION ARI NO CONFORME,0823
FIJACION ARI NO CONFORME N 15,T015
FIJACION ARI NO CONFORME N 25,T025
FIJACION ARI NO CONFORME N 5,T005
FIJACION ARI NO CONFORME N 9,T009
FIJACION ATORNILLADA FLOJA - ARD,1835
FIJACION ATORNILLADA FLOJA - ARI,1834
FIJACION ATORNILLADA FLOJA - AVD,1833
FIJACION ATORNILLADA FLOJA - AVI,1832
FIJACION AV NO CONFORME,T051
FIJACION AVD NO CONFORME,0822
FIJACION AVD NO CONFORME N 14,T014
FIJACION AVD NO CONFORME N 2,T002
FIJACION AVD NO CONFORME N 20,T020
FIJACION AVD NO CONFORME N 24,T024
FIJACION AVD NO CONFORME N 8,T008
FIJACION AVI NO CONFORME,0821
FIJACION AVI NO CONFORME N 1,T001
FIJACION AVI NO CONFORME N 11,T011
FIJACION AVI NO CONFORME N 19,T019
FIJACION AVI NO CONFORME N 7,T007
FIJACION BIELETA NO CONFORME N 30,T030
FIJACION CABLE GMP / TDB NO CONFORME,T054
FIJACION CABLE MASA CVA NO CONFORME,T106
FIJACION CABLE MASA CVM NO CONFORME,T105
FIJACION CABLE UCH / USM NO CONFORME,T053
FIJACION CENTRAL D NO CONFORME N 18,T018
FIJACION CENTRAL DCH NO CONFORME,0826
FIJACION CENTRAL I NO CONFORME N 13,T013
FIJACION CENTRAL I NO CONFORME N 21,T021
